MGI	HGNC
Zbtb20	ZBTB20
Fam90a1b	FAM90A26
Prep	PREP
Cav3	CAV3
Rec8	REC8
Nphp4	NPHP4
Ccpg1	CCPG1
Syt16	SYT16
Itga9	ITGA9
Kcna10	KCNA10
Btbd18	BTBD18
Six6	SIX6
Nampt	NAMPT
Chst7	CHST7
Zfp839	ZNF839
Adh4	ADH4
Gm6563	SARNP
Cbx1	CBX1
Gm28998	SYCP3
Sult1c2	SULT1C2
Wscd2	WSCD2
Syt6	SYT6
Gata1	GATA1
Lmntd1	LMNTD1
Tas2r123	TAS2R14
Inafm1	INAFM1
Fabp7	FABP7
Txnrd2	TXNRD2
Plekhs1	PLEKHS1
Kat6b	KAT6B
Nt5dc1	NT5DC1
Dcxr	DCXR
Tex13c2	TEX13C
Snx22	SNX22
Zfp639	ZNF639
Nupl1	NUP58
Aldh1a2	ALDH1A2
Hspb6	HSPB6
Xlr3c	FAM9C
Fam98b	FAM98B
Epp13	EDDM13
Trip11	TRIP11
Stc2	STC2
Enpp6	ENPP6
Clip2	CLIP2
Iqcg	IQCG
Snx24	SNX24
Clec12a	CLEC12A
Klk1b11	KLK1
Il1r2	IL1R2
Defb25	DEFB124
Qdpr	QDPR
Pdzd9	PDZD9
Shisa6	SHISA6
Tsta3	TSTA3
2310011J03Rik	C19orf25
Heatr6	HEATR6
Rorb	RORB
Actl6a	ACTL6A
Sh3gl1	SH3GL1
Iars	IARS
Mamstr	MAMSTR
Arhgap17	ARHGAP17
Zfp146	ZNF146
Clmp	CLMP
Susd4	SUSD4
Yaf2	YAF2
Sdc4	SDC4
Il17b	IL17B
Efcab5	EFCAB5
Vasp	VASP
Tgfbr3	TGFBR3
Amd1	AMD1
Tmem231	TMEM231
Atp2b4	ATP2B4
Dido1	DIDO1
Fxyd2	FXYD6-FXYD2
Fxyd2	FXYD2
Cox5b	COX5B
Slc7a8	SLC7A8
Faap100	FAAP100
Set	SETSIP
Rasa3	RASA3
Tmem79	TMEM79
Gars	GARS
Shprh	SHPRH
Hoxb9	HOXB9
Rab33b	RAB33B
Bsg	BSG
Dpf3	DPF3
Cnnm1	CNNM1
Nol12	NOL12
4930407I10Rik	C22orf46
Cfap300	CFAP300
Gm20937	SYCP3
Slc25a44	SLC25A44
Col6a2	COL6A2
Ptpn7	PTPN7
Prcd	PRCD
Zic1	ZIC1
Zfp429	ZNF195
Zfp429	ZNF429
Olfr1415	OR6B2
Olfr1415	OR6B3
Lhfpl1	LHFPL1
Pik3ca	PIK3CA
Il10	IL10
Ripor1	RIPOR1
Riok3	RIOK3
Wdr62	WDR62
Sh3glb1	SH3GLB1
Mei4	MEI4
Dock11	DOCK11
Tas2r106	TAS2R10
Zfp655	ZNF655
Slc14a2	SLC14A2
Sh3rf1	SH3RF1
Clip3	CLIP3
Polr3e	POLR3E
Bpifa5	BPIFA1
Khdrbs2	KHDRBS2
Flt1	FLT1
C4b	C4A
C4b	C4B
Gemin4	GEMIN4
Rnf217	RNF217
Herc2	HERC2
Zdhhc5	ZDHHC5
Zscan20	ZSCAN20
Pacrg	PACRG
Grik3	GRIK3
Sirt7	SIRT7
Snapc5	SNAPC5
C1ql2	C1QL2
Tbx18	TBX18
Vps18	VPS18
Siglecg	SIGLEC10
Hand1	HAND1
Atp5s	ATP5S
Hydin	HYDIN
Zfp454	ZNF454
Hibch	HIBCH
Aldh3a2	ALDH3A2
Ctps	CTPS1
Olfr1274-ps	OR4X2
Hist1h2bb	HIST1H2BM
Pank4	PANK4
Glyctk	GLYCTK
Ccl19	CCL19
Anxa1	ANXA1
Taf12	TAF12
Efcab9	EFCAB9
Slfnl1	SLFNL1
Gm20908	SYCP3
Ssx9	SSX4
Ssx9	SSX4B
Osmr	OSMR
Cfap97	CFAP97
Eif3g	EIF3G
Wdr89	WDR89
Gm2a	GM2A
Tm6sf2	TM6SF2
Syt14	SYT14
Defa34	DEFA6
Defa34	DEFA4
Defa34	DEFA1
Defa34	DEFA1B
Defa34	DEFA3
Defa34	DEFA5
Rbm10	RBM10
Gtpbp10	GTPBP10
Cnksr1	CNKSR1
Tia1	TIA1
Mageb4	MAGEB2
Retnlg	RETNLB
Znhit6	ZNHIT6
Olfr137	OR2J1
Olfr137	OR2J3
Olfr137	OR2J2
Krt27	KRT27
Gm21209	SYCP3
Tmem158	TMEM158
Bpifb3	BPIFB3
Catsper4	CATSPER4
Calm3	CALM3
Spaca6	SPACA6
Gucy1a2	GUCY1A2
Gm21858	SYCP3
Defb43	DEFB131A
Olfr876	OR8B12
Mcub	MCUB
Tspan2	TSPAN2
Col6a1	COL6A1
Gm37797	MARCOL
Osbpl9	OSBPL9
Gm11595	KRTAP4-3
Plppr5	PLPPR5
Rgn	RGN
Pcdhgc4	PCDHGC4
Casp6	CASP6
Atp6v1c2	ATP6V1C2
Nupl2	NUPL2
Gm49345	ZNF85
Gm49345	ZNF682
Gm49345	ZNF678
Hnrnpl	HNRNPL
Cox19	COX19
Tmtc4	TMTC4
Zfp865	ZNF865
Irgq	IRGQ
Alas2	ALAS2
Eif4ebp2	EIF4EBP2
Lyn	LYN
Gpld1	GPLD1
Phc2	PHC2
Gmcl1	GMCL2
Btg1-ps2	BTG1
L3mbtl3	L3MBTL3
Prox1	PROX1
Utp4	UTP4
Thsd7a	THSD7A
Shisal2b	SHISAL2B
Cdk17	CDK17
Il1rapl2	IL1RAPL2
Cdk11b	CDK11A
Hhat	HHAT
Fbxw28	FBXW12
Uprt	UPRT
Gm1993	SYCP3
Bmp2k	BMP2K
Polr3h	POLR3H
Iqcc	IQCC
Rtbdn	RTBDN
Fcgr2b	FCGR2A
Fcgr2b	FCGR2C
Fcgr2b	FCGR2B
Gpr39	GPR39
Pmf1	PMF1
Sertad3	SERTAD3
Marveld3	MARVELD3
Kcns2	KCNS2
Tmprss12	TMPRSS12
Ecel1	ECEL1
Rnaseh2a	RNASEH2A
Ugdh	UGDH
Casr	CASR
Tbc1d12	TBC1D12
Cdh19	CDH19
Ccdc38	CCDC38
Sesn1	SESN1
Olfr1396	OR2V1
Olfr1396	OR2V2
Rsrp1	RSRP1
Enpp4	ENPP4
Eno1	ENO1
Kank2	KANK2
Bglap3	BGLAP
Ergic1	ERGIC1
Mtrf1l	MTRF1L
Frem3	FREM3
Cdk20	CDK20
Fate1	FATE1
Gpr4	GPR4
Pcdhga9	PCDHGA9
Higd1a	HIGD1A
Yars	YARS
Ces1c	CES1
Mier2	MIER2
Myh1	MYH1
Mef2c	MEF2C
Olfr1385	OR2Y1
Ifih1	IFIH1
S1pr5	S1PR5
Tmem237	TMEM237
Foxi3	FOXI3
Bclaf3	BCLAF3
Fam229b	FAM229B
Tas2r105	TAS2R10
Lmo3	LMO3
Sycp1	SYCP1
Isx	ISX
Clca1	CLCA1
Prkcg	PRKCG
Dusp26	DUSP26
Ptpa	PTPA
Cpa5	CPA5
Lbx2	LBX2
Rsu1	RSU1
Sgip1	SGIP1
Gmppb	GMPPB
Zfp667	ZNF667
Chchd10	CHCHD10
Gm49369	CTSD
Prkaa2	PRKAA2
Glra2	GLRA2
Gigyf2	GIGYF2
Zfp292	ZNF292
Fgd4	FGD4
Mdga2	MDGA2
Trmt12	TRMT12
Aqp1	AQP1
Fndc7	FNDC7
Gm49396	U2AF1L4
Coch	COCH
Dhh	DHH
Bves	BVES
Dbp	DBP
Col16a1	COL16A1
Ptpn6	PTPN6
Slc13a1	SLC13A1
Galnt6	GALNT6
Serpine3	SERPINE3
Grk2	GRK2
Sorbs2	SORBS2
Wdr44	WDR44
Hmgb2	HMGB2
Itgb8	ITGB8
Cnih4	CNIH4
Ina	INA
Ighv8-2	IGHV2-5
Ighv8-2	IGHV2-26
Epha4	EPHA4
Rela	RELA
2610528J11Rik	C1orf210
Mageb5	MAGEB5
Hdac1	HDAC1
Gm21876	SSX4
Gm21876	SSX4B
Ggh	GGH
Ehhadh	EHHADH
Tas2r104	TAS2R10
H2afv	H2AFV
Nucb1	NUCB1
Tango6	TANGO6
Lipe	LIPE
Ets1	ETS1
Olfr10	OR2Y1
Pth1r	PTH1R
Map3k15	MAP3K15
Tmem97	TMEM97
Usp32	USP32
Dsc3	DSC3
Tcf24	TCF24
E330009J07Rik	KIAA1147
Ing5	ING5
Gpr180	GPR180
Coro1b	CORO1B
Igkv2-112	IGKV2-30
Igkv2-112	IGKV2D-30
Armh4	ARMH4
Tas2r115	TAS2R14
Slc38a6	SLC38A6
Baiap2l2	BAIAP2L2
Nxph2	NXPH2
Kdm6a	KDM6A
AI661453	C6orf132
2310022A10Rik	C19orf47
Vil1	VIL1
Stox2	STOX2
Arid1b	ARID1B
Mutyh	MUTYH
Vps9d1	VPS9D1
Tmem221	TMEM221
Rab9b	RAB9B
Nacc2	NACC2
Amer1	AMER1
Sec14l3	SEC14L3
BC100530	CSTA
Oat	OAT
Cdk9	CDK9
Gon4l	GON4L
Tmem89	TMEM89
Psmg4	PSMG4
Ift20	IFT20
Ncoa5	NCOA5
Mcrs1	MCRS1
Gm14525	SYCP3
Optn	OPTN
Fkbp10	FKBP10
Prpf40b	PRPF40B
Fuca1	FUCA1
Limd1	LIMD1
Prelid2	PRELID2
Zfp764	ZNF764
Zfp764	ZNF747
Cxcl5	CXCL6
Il1f8	IL36B
Ngrn	NGRN
Eif4enif1	EIF4ENIF1
Fmr1nb	FMR1NB
Minpp1	MINPP1
Pak4	PAK4
Trpc5os	TRPC5OS
Muc5b	MUC5B
Myl3	MYL3
Nudt18	NUDT18
Mbip	MBIP
F3	F3
Slc10a2	SLC10A2
Litaf	LITAF
Gpn3	GPN3
Pfkfb3	PFKFB3
Sult2a7	SULT2A1
Olfr839-ps1	OR7G2
Socs6	SOCS6
Uty	UTY
Zc3h8	ZC3H8
Amt	AMT
Hif1an	HIF1AN
Lrif1	LRIF1
Nkx2-9	NKX2-8
Pla2g6	PLA2G6
Pcnt	PCNT
Hadh	HADH
Gm20817	SYCP3
Ssh3	SSH3
Baat	BAAT
Tctn1	TCTN1
Usp44	USP44
Tmem54	TMEM54
Tigit	TIGIT
Ddx4	DDX4
Bpifa3	BPIFA3
Klk10	KLK10
Ndufb11	NDUFB11
Pip5k1a	PIP5K1A
Baalc	BAALC
Usp12	USP12
Cnot4	CNOT4
Mbd3l1	MBD3L1
Scrib	SCRIB
Oprd1	OPRD1
Brsk2	BRSK2
Pld3	PLD3
Tm2d1	TM2D1
Gm21440	SPIN2B
Gm21440	SPIN2A
Olfr866	OR7E24
Pcnx4	PCNX4
Slc24a3	SLC24A3
Shpk	SHPK
Dcaf1	DCAF1
Rnpep	RNPEP
Gm20815	SPIN2B
Gm20815	SPIN2A
Gtf2ird1	GTF2IRD1
Csnk1e	TPTEP2-CSNK1E
Csnk1e	CSNK1E
Fam20a	FAM20A
Ocstamp	OCSTAMP
Olfr1390	OR2Y1
Exo5	EXO5
Camk1d	CAMK1D
Abt1	ABT1
Ift80	IFT80
Klk1b9	KLK1
Obsl1	OBSL1
Cyb5r2	CYB5R2
Gm21988	RNASEK
Sertad4	SERTAD4
Gfra1	GFRA1
Epb41	EPB41
Slc7a11	SLC7A11
Tarbp2	TARBP2
Shroom3	SHROOM3
Plekhb1	PLEKHB1
Mzt2	MZT2B
Mzt2	MZT2A
Igtp	IRGM
Grik2	GRIK2
Gm38431	RAVER1
Eqtn	EQTN
C1ql1	C1QL1
Clcn3	CLCN3
Cela2a	CELA2A
Cela2a	CELA2B
Kmt5c	KMT5C
Sun3	SUN3
Cdc16	CDC16
Camk1g	CAMK1G
Zfp367	ZNF367
Trmt5	TRMT5
Uspl1	USPL1
Pole2	POLE2
Rps6kb1	RPS6KB1
Eml5	EML5
Hypk	HYPK
Mrpl42	MRPL42
Spink13	SPINK13
Dab1	DAB1
Arl6ip1	ARL6IP1
Rpp38	RPP38
Fam241b	FAM241B
Ipo9	IPO9
Kif9	KIF9
Slc40a1	SLC40A1
Kncn	KNCN
Flvcr1	FLVCR1
Scand1	SCAND1
Sohlh1	SOHLH1
Fkbp2	FKBP2
Ten1	TEN1-CDK3
Ten1	TEN1
Ccdc62	CCDC62
Homer3	HOMER3
Gm43064	AP4B1
Wwc1	WWC1
Tmem234	TMEM234
Defb42	DEFB136
Eci1	ECI1
Anxa3	ANXA3
Fndc11	FNDC11
Spin2c	SPIN2B
Spin2c	SPIN2A
Gas6	GAS6
Ppp5c	PPP5C
Asb12	ASB12
Fpr3	FPR2
Defb12	DEFB105B
Defb12	DEFB105A
Chmp4c	CHMP4C
Ccdc112	CCDC112
Chrm2	CHRM2
Prss42	PRSS42
Psat1	PSAT1
Onecut1	ONECUT1
Itga7	ITGA7
Glod5	GLOD5
Bscl2	BSCL2
Olfr1273-ps	OR4B1
Hnrnpc	HNRNPC
Nodal	NODAL
Rab23	RAB23
P3h2	P3H2
Phldb2	PHLDB2
Tex47	TEX47
Slc5a11	SLC5A11
Slc38a1	SLC38A1
Krt32	KRT32
Mmp19	MMP19
Zdhhc15	ZDHHC15
Adam39	ADAM20
Acd	ACD
Taar1	TAAR1
Klk9	KLK9
Fndc4	FNDC4
Ercc1	ERCC1
Wdr75	WDR75
C2cd2l	C2CD2L
Bcl7c	BCL7C
Tmco3	TMCO3
Defa22	DEFA6
Defa22	DEFA4
Defa22	DEFA1
Defa22	DEFA1B
Defa22	DEFA3
Defa22	DEFA5
Defa28	DEFA6
Defa28	DEFA4
Defa28	DEFA1
Defa28	DEFA1B
Defa28	DEFA3
Defa28	DEFA5
Dip2b	DIP2B
Prm3	PRM3
Fpr2	FPR2
Polr3d	POLR3D
Hist1h4n	HIST1H4D
Pdcd2l	PDCD2L
Cables1	CABLES1
Apeh	APEH
Hoxb13	HOXB13
Mapk1ip1l	MAPK1IP1L
Dmrt2	DMRT2
Sept3	SEPT3
Hcrtr2	HCRTR2
Olfr749	OR11H4
Tesmin	TESMIN
Nkain1	NKAIN1
Kcnq3	KCNQ3
Vegfb	VEGFB
Tes	TES
Mdm4	MDM4
Dusp19	DUSP19
Hsd3b7	HSD3B7
Tnfaip2	TNFAIP2
Haspin	HASPIN
Rccd1	RCCD1
Slc39a5	SLC39A5
Chst14	CHST14
Zfp326	ZNF326
Ppfia4	PPFIA4
Glb1l2	GLB1L2
Drg2	DRG2
Ube2t	UBE2T
Elac2	ELAC2
C2cd3	C2CD3
Git1	GIT1
Dnah8	DNAH8
Gc	GC
Pbsn	PAEP
Timm50	TIMM50
Lrig3	LRIG3
Eipr1	EIPR1
Grm3	GRM3
Nipa2	NIPA2
Lss	LSS
Gnao1	GNAO1
Gm5751	SSX4
Gm5751	SSX4B
Ccnb3	CCNB3
Klk8	KLK8
Grm6	GRM6
Dusp28	DUSP28
Amer2	AMER2
Six1	SIX1
Ighv10-3	IGHV3OR15-7
Ighv10-3	IGHV3-15
Ighv10-3	IGHV3-49
Fam120b	FAM120B
Pdss2	PDSS2
Axin1	AXIN1
Lysmd3	LYSMD3
Srgap3	SRGAP3
Gata6	GATA6
Pabpn1	PABPN1
Plekha4	PLEKHA4
Tmem165	TMEM165
Ino80b	INO80B
Ino80b	INO80B-WBP1
Mucl3	MUCL3
Atp6v0a4	ATP6V0A4
Dpp10	DPP10
Clec7a	CLEC7A
Ubr3	UBR3
Sec22c	SEC22C
Cavin3	CAVIN3
Gm21094	SYCP3
Lyve1	LYVE1
Slc11a1	SLC11A1
Angptl6	ANGPTL6
Zfp282	ZNF282
Iyd	IYD
Rinl	RINL
Mpi	MPI
Odf3l2	ODF3L2
Dopey1	DOP1A
Usp1	USP1
Kif5c	KIF5C
Esco1	ESCO1
Os9	OS9
Napg	NAPG
Ndufs7	NDUFS7
Ddx17	DDX17
Nhlrc4	NHLRC4
Cd2	CD2
Mrm3	MRM3
Cdsn	CDSN
Tjp2	TJP2
Gje1	GJE1
Sh3bp2	SH3BP2
Prdm4	PRDM4
Nabp1	NABP1
Ccdc129	ITPRID1
Klrd1	KLRD1
Klhl11	KLHL11
Nlrp9c	NLRP9
Snta1	SNTA1
Abcd2	ABCD2
Esrrg	ESRRG
Tuba1a	TUBA1A
Hipk4	HIPK4
Actr2	ACTR2
Rabl3	RABL3
Pcdhb18	PCDHB10
Pcdhb18	PCDHB9
Slc45a3	SLC45A3
Prlh	PRLH
Fgfr2	FGFR2
Rffl	RFFL
Adgrf5	ADGRF5
Olfr813	OR6C76
Ehd2	EHD2
Dnah17	DNAH17
Stk19	STK19
Mrgpra9	MRGPRX3
Mrgpra9	MRGPRX4
Mrgpra9	MRGPRX1
Mrgpra9	MRGPRX2
Rpl29	RPL29
Ldhd	LDHD
Zfp780b	ZNF420
Nedd4l	NEDD4L
Mlycd	MLYCD
Itsn1	ITSN1
Rpl36a	RPL36A
Trpc5	TRPC5
Chchd4	CHCHD4
Kirrel3	KIRREL3
Itgbl1	ITGBL1
S100pbp	S100PBP
Cyr61	CYR61
Ago3	AGO3
Gm11992	C7orf57
Arl6	ARL6
Tspo2	TSPO2
Sync	SYNC
Tfeb	TFEB
Phf5a	PHF5A
Ttc7b	TTC7B
Mrps12	MRPS12
Adrb1	ADRB1
Dnali1	DNALI1
Galnt1	GALNT1
Ptchd4	PTCHD4
Chtf8	CHTF8
Fra10ac1	FRA10AC1
Gpr34	GPR34
Guca2a	GUCA2A
Capn10	CAPN10
Mib1	MIB1
Sowahb	SOWAHB
Ube2k	UBE2K
Gpaa1	GPAA1
Wdr35	WDR35
Cryzl1	CRYZL1
Fbxw14	FBXW12
Ankrd54	ANKRD54
Cntn2	CNTN2
Mpped1	MPPED1
Col9a1	COL9A1
Nsun4	NSUN4
Lima1	LIMA1
Relb	RELB
Ccdc175	CCDC175
Nxf2	NXF5
Nxf2	NXF2
Nxf2	NXF2B
Casp14	CASP14
Pax3	PAX3
Zfp746	ZNF746
Ino80	INO80
Zfp821	ZNF821
Zfp646	ZNF646
Trim52	TRIM52
Prr18	PRR18
Egr4	EGR4
Ect2	ECT2
Lrrk2	LRRK2
Ptpn5	PTPN5
Fbxw22	FBXW12
Atraid	ATRAID
Ldha	LDHA
Saal1	SAAL1
Itih2	ITIH2
Med7	MED7
Inka2	INKA2
Gtf2ird2	GTF2IRD2
Cep97	CEP97
Gm21117	SYCP3
Fam19a3	FAM19A3
Lgi4	LGI4
Bcl2l15	BCL2L15
Klk1b8	KLK1
Ampd3	AMPD3
Dmrt1	DMRT1
Zfp874b	ZNF195
Zfp874b	ZNF429
Gm6169	PLP2
Atxn2	ATXN2
Tm9sf1	TM9SF1
Pank3	PANK3
Zmynd19	ZMYND19
Tmprss2	TMPRSS2
Tnfrsf12a	TNFRSF12A
Gal3st2	GAL3ST2
Erg28	ERG28
Plch1	PLCH1
Rfpl4	RFPL4A
Rfpl4	RFPL4AL1
Wnt9a	WNT9A
Cacna1a	CACNA1A
Ptgr1	PTGR1
Tfb1m	TFB1M
Fbxo9	FBXO9
Ist1	IST1
Cpsf1	CPSF1
Foxr2	FOXR2
Flii	FLII
Galp	GALP
Sly	SYCP3
Sema4b	SEMA4B
Rnf222	RNF222
Ndufb7	NDUFB7
Serinc2	SERINC2
Zscan26	ZSCAN26
Trp53tg5	TP53TG5
Fam83e	FAM83E
Btbd8	BTBD8
Emc6	EMC6
Ciart	CIART
Itgb2l	ITGB2
Cyp2a5	CYP2A7
Cyp2a5	CYP2A6
Hpcal1	HPCAL1
Foxe3	FOXE3
Zfp697	ZNF697
Dlx2	DLX2
Usp9y	USP9Y
Fndc5	FNDC5
Kir3dl2	KIR3DL1
Kir3dl2	KIR2DL1
Kir3dl2	KIR2DL3
Kir3dl2	KIR2DS4
Kir3dl2	KIR2DL4
Kir3dl2	KIR3DL3
Kir3dl2	KIR3DL2
Dnajc17	DNAJC17
Ppig	PPIG
Dmkn	DMKN
Enkd1	ENKD1
Lrp8	LRP8
Btc	BTC
Cxcr3	CXCR3
Scg2	SCG2
Fut7	FUT7
Mtm1	MTM1
Smg5	SMG5
Ephx1	EPHX1
Trim36	TRIM36
Car6	CA6
Aldh1a7	ALDH1A1
Sgcb	SGCB
Lmo1	LMO1
Swap70	SWAP70
Sec23b	SEC23B
Taf5	TAF5
Gabrd	GABRD
Nup98	NUP98
Trappc6b	TRAPPC6B
Pms2	PMS2
Hist1h3g	HIST1H3I
Hsd17b12	HSD17B12
Defb14	DEFB103B
Ntf3	NTF3
Zc2hc1b	ZC2HC1B
Rundc1	RUNDC1
Heatr5a	HEATR5A
L3mbtl2	L3MBTL2
Col8a2	COL8A2
Tro	TRO
Foxb2	FOXB2
Comp	COMP
Tmem150c	TMEM150C
Mfsd4b1	MFSD4B
Apaf1	APAF1
Ttc8	TTC8
Dnajc5g	DNAJC5G
Krt6a	KRT6B
Krt6a	KRT6C
Krt6a	KRT6A
Keap1	KEAP1
Slc38a9	SLC38A9
Trnau1ap	TRNAU1AP
Cep162	CEP162
Stpg2	STPG2
Olfr18	OR7E24
Taf1b	TAF1B
Neu2	NEU2
Nfxl1	NFXL1
Olfr724	OR4L1
Dcdc2c	DCDC2C
Ptprq	PTPRQ
Pcdhgb6	PCDHGB6
Atpaf2	ATPAF2
Gm45261	CCDC195
Gemin8	GEMIN8
Rexo5	REXO5
Ice1	ICE1
Tomm34	TOMM34
Fam83f	FAM83F
Capn12	CAPN12
Maats1	MAATS1
Tmem191c	TMEM191C
Il1rap	IL1RAP
Pam16	PAM16
Ocln	OCLN
Pax9	PAX9
Angel1	ANGEL1
Ap3m1	AP3M1
Prps1l1	PRPS1L1
Mthfd1	MTHFD1
Denr	DENR
Suv39h1	SUV39H1
Commd3	COMMD3
Cyp2j13	CYP2J2
Myof	MYOF
Olfr892-ps1	OR5AC1
Cox6c	COX6C
Rbx1	RBX1
Mllt6	MLLT6
Klhl6	KLHL6
Snrnp70	SNRNP70
Mfsd6	MFSD6
1700029J07Rik	C4orf47
Plcxd2	PLCXD2
Psen2	PSEN2
Slc39a3	SLC39A3
Pcare	PCARE
Wdr19	WDR19
Rbm3	RBM3
Lrrc52	LRRC52
Hhip	HHIP
Ctu2	CTU2
Itih4	ITIH4
Dazap2	DAZAP2
Abo	ABO
Dgki	DGKI
Cd99l2	CD99L2
Txndc12	TXNDC12
Kcnh3	KCNH3
Itga10	ITGA10
Lyplal1	LYPLAL1
Gtf2h2	GTF2H2C
Lmod3	LMOD3
Mospd2	MOSPD2
Znhit3	ZNHIT3
Fbxl19	FBXL19
Ylpm1	YLPM1
Fabp1	FABP1
Hps1	HPS1
Shkbp1	SHKBP1
Rasl11a	RASL11A
Cry2	CRY2
Vps45	VPS45
Asphd2	ASPHD2
Mtss1	MTSS1
Sp8	SP8
Scly	SCLY
Ing2	ING2
Cln3	CLN3
Epn1	EPN1
Efhd2	EFHD2
St6galnac4	ST6GALNAC4
Nutm2	NUTM2F
Nutm2	NUTM2A
Nutm2	NUTM2D
Nutm2	NUTM2G
Gli1	GLI1
Arntl2	ARNTL2
Fmo5	FMO5
Cd4	CD4
Adgrg1	ADGRG1
Ddrgk1	DDRGK1
Fam205c	FAM205C
Slc22a2	SLC22A2
Prr22	PRR22
Pcyox1l	PCYOX1L
Myod1	MYOD1
Il17a	IL17A
Peg3	PEG3
Gm13547	GOLGA6C
Gm13547	GOLGA6D
Gm13547	GOLGA8K
Gm13547	GOLGA8O
Gm13547	GOLGA8N
Gm13547	GOLGA2
Klk1b24	KLK1
Kcnc2	KCNC2
Slc25a26	SLC25A26
Mrm1	MRM1
1700057G04Rik	PLSCR1
Kcne4	KCNE4
Spag8	SPAG8
Kars	KARS
Klk6	KLK6
Gm28557	ZNF195
Gm28557	ZNF429
Zfp84	ZNF781
Poc1b	POC1B
Kmt2b	KMT2B
Sdk2	SDK2
Gm10269	RPL35
1810013L24Rik	C16orf72
Klc3	KLC3
Gabrb3	GABRB3
Esam	ESAM
Tnnt1	TNNT1
Pmm1	PMM1
Tent5a	TENT5A
Fam71e2	FAM71E2
C9	C9
Gpr146	GPR146
Syne2	SYNE2
Gkn3	GKN3P
Ccl21c	CCL21
Pomt1	POMT1
Arhgap15	ARHGAP15
Fbxo27	FBXO27
Dlst	DLST
Gm773	SYCP3
BC028528	C1orf54
Mat2b	MAT2B
Tex26	TEX26
Amd2	AMD1
Pcbp4	PCBP4
Jun	JUN
Abhd14a	ABHD14A
Cd160	CD160
Oaz1	OAZ1
Kcna2	KCNA2
Mrpl53	MRPL53
Csad	CSAD
Ctsb	CTSB
Plpp7	PLPP7
Mrpl32	MRPL32
Doc2b	DOC2B
Mrgpra4	MRGPRX3
Mrgpra4	MRGPRX4
Mrgpra4	MRGPRX1
Mrgpra4	MRGPRX2
Kcnj8	KCNJ8
Chrne	CHRNE
Olfr836	OR7G2
Igkv8-28	IGKV4-1
Syt2	SYT2
Mnat1	MNAT1
Ier5l	IER5L
Trappc1	TRAPPC1
Ffar4	FFAR4
Igkv2-137	IGKV2-30
Igkv2-137	IGKV2D-30
Tceanc2	TCEANC2
Hpcal4	HPCAL4
Tex30	TEX30
Myef2	MYEF2
Mrgpra2a	MRGPRX3
Mrgpra2a	MRGPRX4
Mrgpra2a	MRGPRX1
Mrgpra2a	MRGPRX2
Zfp526	ZNF526
Usp7	USP7
Tamm41	TAMM41
Pex13	PEX13
Abca4	ABCA4
Polq	POLQ
Slc4a3	SLC4A3
Fam149a	FAM149A
Kti12	KTI12
Coro1c	CORO1C
Etv2	ETV2
Olfr847	OR7G2
Ntng1	NTNG1
Pkd1l1	PKD1L1
Agrn	AGRN
Gm8914	MAGEB6B
Gm8914	MAGEB6
Tmem203	TMEM203
St7l	ST7L
Maf1	MAF1
Plscr4	PLSCR4
Washc1	WASHC1
Alpi	ALPP
Alpi	ALPG
Alpi	ALPI
Spx	SPX
Ganab	GANAB
Pcdhgc5	PCDHGC5
Olfr1354	OR7A5
Olfr1354	OR7A10
Olfr1354	OR7A17
Polrmt	POLRMT
Slc17a2	SLC17A2
Arl6ip5	ARL6IP5
Bub1b	BUB1B
Lta	LTA
Acap1	ACAP1
Sh3kbp1	SH3KBP1
Zfp143	ZNF143
Afp	AFP
Trove2	TROVE2
Cdk5rap1	CDK5RAP1
Preb	PREB
Tas2r136	TAS2R31
Tas2r136	TAS2R50
Tas2r136	TAS2R43
Tas2r136	TAS2R19
Tas2r136	TAS2R20
Tas2r136	TAS2R46
Tas2r136	TAS2R30
Gen1	GEN1
Rrp15	RRP15
Bad	BAD
Ankdd1b	ANKDD1B
Nras	NRAS
Rfc1	RFC1
Pex11b	PEX11B
Catsperz	CATSPERZ
Pcgf1	PCGF1
Sel1l3	SEL1L3
Hrh2	HRH2
Cldn19	CLDN19
Olfr1264	OR4C3
Rangrf	RANGRF
Cc2d1b	CC2D1B
Abat	ABAT
Sult2a2	SULT2A1
Olfr151	OR8A1
Ankrd37	ANKRD37
Elovl2	ELOVL2
Tas2r118	TAS2R16
Ighv9-4	IGHV7-4-1
Morc4	MORC4
Nuak2	NUAK2
Stpg1	STPG1
Hist1h1t	HIST1H1T
Mgat1	MGAT1
Ccdc58	CCDC58
Rnf214	RNF214
Pura	PURA
Otof	OTOF
5430427O19Rik	CXorf21
Vsig10l	VSIG10L
Cyp2j9	CYP2J2
AI837181	C11orf68
Hat1	HAT1
Eps15	EPS15
Pkp1	PKP1
Exd1	EXD1
Tssk4	TSSK4
Papd5	TENT4B
Bcor	BCOR
Ppih	PPIH
Ilkap	ILKAP
CN725425	C12orf40
Olfr191	OR5H1
Olfr191	OR5H14
Ssfa2	ITPRID2
Morn1	MORN1
Ano2	ANO2
Tmem255b	TMEM255B
Ptprc	PTPRC
Unc45a	UNC45A
Nr2e3	NR2E3
Ythdc2	YTHDC2
Nckap1l	NCKAP1L
Spc24	SPC24
Izumo1	IZUMO1
Rrh	RRH
Lct	LCT
Gpr19	GPR19
Chrna10	CHRNA10
Atp4b	ATP4B
Tub	TUB
Szt2	SZT2
