dblabel	dblabelEFO	EFO	short_dblabel	is_level	l4	l4EFO	l3	l3EFO	l2	l2EFO	l1	l1EFO	l0	l0EFO
mesothelial cell	mesothelial cell	CL:0000077	Mesothelial	1									cell	CL:0000548
proliferating myeloid leukocyte		DB:0000052	ProlifMyeloid	3					myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
proliferating myeloid dendritic cell		DB:0000053	ProlifcDC	4			myeloid dendritic cell	CL:0000782	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
SLC17A6_SLC17A7-positive neuron		DB:0000027	Neuron_SLC17A6_SLC17A7	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A7_DCC-positive neuron		DB:0000063	Neuron_SLC17A7_DCC	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A7_GABRA6-positive neuron		DB:0000058	Neuron_SLC17A7_GABRA6	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
melanocyte	melanocyte	CL:0000148	Melanocyte	1									cell	CL:0000548
platelet	platelet	CL:0000233	Platelet	2							hematopoietic cell	CL:0000988	cell	CL:0000548
proliferating epithelial fate stem cell		DB:0000073	ProlifEpithelialStem	5	epithelial fate stem cell	CL:0000036	somatic stem cell	CL:0000723	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
proliferating enterocyte progenitor		DB:0000074	ProlifEnterocytePC	5	enterocyte progenitor	DB:0000037	intestinal epithelial cell	CL:0002563	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
proliferating hematopoietic cell		DB:0000075	ProlifHematopoietic	2							hematopoietic cell	CL:0000988	cell	CL:0000548
secretory cell	secretory cell	CL:0000151	Secretory	1									cell	CL:0000548
B T cell doublet		DB:0000077	BTcell	2							hematopoietic cell	CL:0000988	cell	CL:0000548
ACE-positive macrophage		DB:0000078	Macrophage_ACE	4			macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
FOLR2-positive macrophage		DB:0000079	Macrophage_FOLR2	4			macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
TREM2-positive macrophage		DB:0000080	Macrophage_TREM2	4			macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
RXRG-positive macrophage		DB:0000081	Macrophage_RXRG	4			macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
CD8-positive, alpha-beta resource T cell		DB:0000082	ResourceCD8Tcell	5	CD8-positive, alpha-beta T cell	CL:0000625	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
monocyte or dendritic cell		DB:0000083	MonocyteDC	3					myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
CD209-positive myeloid dendritic cell		DB:0000084	cDC_CD209	4			myeloid dendritic cell	CL:0000782	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
cardiac endothelial cell	cardiac endothelial cell	CL:0010008	CardialEndothelial	2							endothelial cell	CL:0000115	cell	CL:0000548
secretory progenitor		DB:0000076	SecretoryPC	3					glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
GAD1_GAD1_SV2C-positive neuron		DB:0000068	Neuron_GAD1_GAD1_SV2C	4			GABAergic neuron	CL:0000617	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
GAD1_GAD2_CPLX3_SV2C-positive neuron		DB:0000069	Neuron_GAD1_GAD2_CPLX3_SV2C	4			GABAergic neuron	CL:0000617	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
GAD1_GAD2_SV2C-positive neuron		DB:0000071	Neuron_GAD1_GAD2_SV2C	4			GABAergic neuron	CL:0000617	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
GAD1_PVALB-positive neuron		DB:0000072	Neuron_GAD1_PVALB	4			GABAergic neuron	CL:0000617	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A7_CUX2_RORB-positive neuron		DB:0000061	Neuron_SLC17A7_CUX2_RORB	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A6-positive neuron		DB:0000026	Neuron_SLC17A6	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A7_RBFOX1_NEUROD2-positive neuron		DB:0000059	Neuron_SLC17A7_RBFOX1_NEUROD2	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A7_RORB_FOXP2-positive neuron		DB:0000062	Neuron_SLC17A7_RORB_FOXP2	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A7_RORB_FOXP2_DCC-positive neuron		DB:0000070	Neuron_SLC17A7_RORB_FOXP2_DCC	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A7_THEMIS-positive neuron		DB:0000064	Neuron_SLC17A7_THEMIS	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A7_THEMIS_DCC-positive neuron		DB:0000065	Neuron_SLC17A7_THEMIS_DCC	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A7_TLE4_FOXP2-positive neuron		DB:0000066	Neuron_SLC17A7_TLE4_FOXP2	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A7_TLE4_FOXP2_DCC-positive neuron		DB:0000067	Neuron_SLC17A7_TLE4_FOXP2_DCC	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
chondrocyte	chondrocyte	CL:0000138	Chondrocyte	2							connective tissue cell	CL:0002320	cell	CL:0000548
cortical cell of adrenal gland	cortical cell of adrenal gland	CL:0002097	Adrenocortical	3					glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
chromaffin cell	chromaffin cell	CL:0000166	Chromaffin	4			neuroendocrine cell	CL:0000165	endocrine cell	CL:0000163	secretory cell	CL:0000151	cell	CL:0000548
corneal epithelial cell	corneal epithelial cell	CL:0000575	CornealEpithelial	3					ecto-epithelial cell	CL:0002077	epithelial cell	CL:0000066	cell	CL:0000548
enteric neuron	enteric neuron	CL:0007011	EntericNeuron	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
cardiocyte	cardiocyte	CL:0002494	Cardiocyte	1									cell	CL:0000548
extravillous trophoblast	extravillous trophoblast	CL:0008036	ExtravillousTrophoblast	3					trophoblast cell	CL:0000351	extraembryonic cell	CL:0000349	cell	CL:0000548
trophoblast cell	trophoblast cell	CL:0000351	Trophoblast	2							extraembryonic cell	CL:0000349	cell	CL:0000548
extraembryonic cell	extraembryonic cell	CL:0000349	Extraembryonic	1									cell	CL:0000548
hepatoblast	hepatoblast	CL:0005026	Hepatoblast	4			multi fate stem cell	CL:0000048	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
inhibitory interneuron	inhibitory interneuron	CL:0000498	InhibitoryInterneuron	4			interneuron	CL:0000099	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
lens fiber cell	lens fiber cell	CL:0011004	LensFiber	3					vertebrate lens cell	CL:0002222	epithelial cell	CL:0000066	cell	CL:0000548
vertebrate lens cell	vertebrate lens cell	CL:0002222	VertebrateLens	2							epithelial cell	CL:0000066	cell	CL:0000548
chief cell of parathyroid gland	chief cell of parathyroid gland	CL:0000446	ParathyroidGlandChief	4			epithelial cell of parathyroid gland	CL:0002260	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
epithelial cell of parathyroid gland	epithelial cell of parathyroid gland	CL:0002260	ParathyroidGlandEpithelial	3					endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
retinal progenitor cell	retinal progenitor cell	CL:0002672	RetinalProgenitor	4			multi fate stem cell	CL:0000048	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
squamous epithelial cell	squamous epithelial cell	CL:0000076	SquamousEpithelial	2							epithelial cell	CL:0000066	cell	CL:0000548
epithelial cell of thymus	epithelial cell of thymus	CL:0002293	ThymusEpithelial	3					endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
thymocyte	thymocyte	CL:0000893	Thymocyte	5	immature T cell	CL:0002420	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
trophoblast giant cell	trophoblast giant cell	CL:0002488	TrophoblastGiant	3					trophoblast cell	CL:0000351	extraembryonic cell	CL:0000349	cell	CL:0000548
visceromotor neuron	visceromotor neuron	CL:0005025	VisceromotorN	5	motor neuron	CL:0000100	efferent neuron	CL:0000527	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
motor neuron	motor neuron	CL:0000100	MotorN	4			efferent neuron	CL:0000527	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
efferent neuron	efferent neuron	CL:0000527	EfferentN	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
fat cell	fat cell	CL:0000136	Adipocyte	2							connective tissue cell	CL:0002320	cell	CL:0000548
epicardial adipocyte	epicardial adipocyte	CL:1000309	EpicardialAdipocyte	3					fat cell	CL:000136	connective tissue cell	CL:0002320	cell	CL:0000548
Slamf1-positive multipotent progenitor cell	Slamf1-positive multipotent progenitor cell	CL:0002036	MultipotentPC_SLAMF	4			hematopoietic multipotent progenitor cell	CL:0000837	hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
proliferating natural killer cell		DB:0000086	ProlifNKcell	5	natural killer cell	CL:0000623	innate lymphoid cell	CL:0001065	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
B myeloid cell doublet		DB:0000087	BMyeloid	2							hematopoietic cell	CL:0000988	cell	CL:0000548
BEST4+ intestinal epithelial cell, human	BEST4+ intestinal epithelial cell, human	CL:4030026	BEST4enterocyte	5	enterocyte	CL:0000584	intestinal epithelial cell	CL:0002563	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
T follicular helper cell	T follicular helper cell	CL:0002038	FollicularTh	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
capillary endothelial cell	capillary endothelial cell	CL:0002144	CapillaryEndothelial	4			blood vessel endothelial cell	CL:0000071	endothelial cell of vascular tree	CL:0002139	endothelial cell	CL:0000115	cell	CL:0000548
colon macrophage	colon macrophage	CL:0009038	ColonMacrophage	4			macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
endothelial cell of artery	endothelial cell of artery	CL:1000413	EndothelialArtery	4			blood vessel endothelial cell	CL:0000071	endothelial cell of vascular tree	CL:0002139	endothelial cell	CL:0000115	cell	CL:0000548
tuft cell of colon	tuft cell of colon	CL:0009041	TuftColon	5	brush cell of epithelium proper of large intestine	CL:0002203	brush cell	CL:0002204	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
vein endothelial cell	vein endothelial cell	CL:0002543	VeinEndothelial	4			blood vessel endothelial cell	CL:0000071	endothelial cell of vascular tree	CL:0002139	endothelial cell	CL:0000115	cell	CL:0000548
molecular layer interneuron	molecular layer interneuron	DB:0000089	MLInterneuron	5	CNS interneuron	CL:0000402	central nervous system neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
CNS interneuron	CNS interneuron	CL:0000402	CNSInterneuron	4			central nervous system neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
unipolar brush cell	unipolar brush cell	CL:4023161	UnipolarBrush	5	CNS interneuron	CL:0000402	central nervous system neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
purkinje layer interneuron	purkinje layer interneuron	DB:0000090	PLInterneuron	5	CNS interneuron	CL:0000402	central nervous system neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
hepatic stellate cell	hepatic stellate cell	CL:0000632	HepStellate	3					fibroblast	CL:0000057	connective tissue cell	CL:0002320	cell	CL:0000548
centrilobular region hepatocyte	centrilobular region hepatocyte	CL:0019029	CentrilobularHepatocyte	3					hepatocyte	CL:0000182	epithelial cell	CL:0000066	cell	CL:0000548
midzonal region hepatocyte	midzonal region hepatocyte	CL:0019028	MidzonalHepatocyte	3					hepatocyte	CL:0000182	epithelial cell	CL:0000066	cell	CL:0000548
periportal region hepatocyte	periportal region hepatocyte	CL:0019026	PeriportalHepatocyte	3					hepatocyte	CL:0000182	epithelial cell	CL:0000066	cell	CL:0000548
enteric glial precursor cell	enteric glial precursor cell	DB:0000091	EntericGlialPC	4			enteric glial cell	DB:0000050	glial cell	CL:0000125	neural cell	CL:0002319	cell	CL:0000548
glandular cell of stomach	glandular cell of stomach	CL:0002659	GlandularStomach	3					glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
mucous cell of stomach	mucous cell of stomach	CL:0002180	MucousStomach	4			glandular cell of stomach	CL:0002659	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
parietal cell	parietal cell	CL:0000162	ParietalCell	4			glandular cell of stomach	CL:0002659	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
peptic cell	peptic cell	CL:0000155	PepticCell	4			glandular cell of stomach	CL:0002659	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
stomach enteroendocrine cell	stomach enteroendocrine cell	CL:1001517	StomachEnteroendocrine	4			glandular cell of stomach	CL:0002659	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
short term hematopoietic stem cell	short term hematopoietic stem cell	CL:0002033	STHematoStem	4			hematopoietic stem cell	CL:0000037	hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
type I muscle cell	type I muscle cell	CL:0002211	TypeIMuscle	4			skeletal muscle fiber	CL:0008002	muscle cell	CL:0000187	contractile cell	CL:0000183	cell	CL:0000548
type II muscle cell	type II muscle cell	CL:0002212	TypeIIMuscle	4			skeletal muscle fiber	CL:0008002	muscle cell	CL:0000187	contractile cell	CL:0000183	cell	CL:0000548
glandular cell of esophagus	glandular cell of esophagus	CL:0002657	EsophagusGlandular	3					glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
mesothelial fibroblast of the leptomeninx	mesothelial fibroblast of the leptomeninx	CL:4023058	MesoFibroblastLeptomeninx	2							neural cell	CL:0002319	cell	CL:0000548
vascular leptomeningeal cell	vascular leptomeningeal cell	CL:4023051	VascLeptomeningeal	3					mesothelial fibroblast of the leptomeninx	CL:4023058	neural cell	CL:0002319	cell	CL:0000548
chromophil cell of anterior pituitary gland	chromophil cell of anterior pituitary gland	CL:0000637	ChromophilAnteriorPituitary	2							neural cell	CL:0002319	cell	CL:0000548
acidophil cell of pars distalis of adenohypophysis	acidophil cell of pars distalis of adenohypophysis	CL:0000638	AcidophilParsDistalis	3					chromophil cell of anterior pituitary gland	CL:0000637	neural cell	CL:0002319	cell	CL:0000548
basophil cell of pars distalis of adenohypophysis	basophil cell of pars distalis of adenohypophysis	CL:0000639	BasophilParsDistalis	3					chromophil cell of anterior pituitary gland	CL:0000637	neural cell	CL:0002319	cell	CL:0000548
mammotroph	mammotroph	CL:0002311	Mammotroph	4			acidophil cell of pars distalis of adenohypophysis	CL:0000638	chromophil cell of anterior pituitary gland	CL:0000637	neural cell	CL:0002319	cell	CL:0000548
somatotroph	somatotroph	CL:0002312	Somatotroph	4			acidophil cell of pars distalis of adenohypophysis	CL:0000638	chromophil cell of anterior pituitary gland	CL:0000637	neural cell	CL:0002319	cell	CL:0000548
mammosomatotroph	mammosomatotroph	CL:0002310	Mammosomatotroph	4			acidophil cell of pars distalis of adenohypophysis	CL:0000638	chromophil cell of anterior pituitary gland	CL:0000637	neural cell	CL:0002319	cell	CL:0000548
corticotroph	corticotroph	CL:0002309	Corticotroph	4			basophil cell of pars distalis of adenohypophysis	CL:0000639	chromophil cell of anterior pituitary gland	CL:0000637	neural cell	CL:0002319	cell	CL:0000548
gonadtroph	gonadtroph	CL:0000437	Gonadtroph	4			basophil cell of pars distalis of adenohypophysis	CL:0000639	chromophil cell of anterior pituitary gland	CL:0000637	neural cell	CL:0002319	cell	CL:0000548
thyrotroph	thyrotroph	CL:0000476	Thyrotroph	4			basophil cell of pars distalis of adenohypophysis	CL:0000639	chromophil cell of anterior pituitary gland	CL:0000637	neural cell	CL:0002319	cell	CL:0000548
melanotroph	melanotroph	DB:0000092	Melanotroph	4			basophil cell of pars distalis of adenohypophysis	CL:0000639	chromophil cell of anterior pituitary gland	CL:0000637	neural cell	CL:0002319	cell	CL:0000548
sst GABAergic cortical interneuron	sst GABAergic cortical interneuron	CL:4023017	GABAergicInterneuron_SST	4			interneuron	CL:0002306	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
pvalb GABAergic cortical interneuron	pvalb GABAergic cortical interneuron	CL:4023018	GABAergicInterneuron_PVALB	4			interneuron	CL:0002306	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
reelin GABAergic cortical interneuron	reelin GABAergic cortical interneuron	CL:4032001	GABAergicInterneuron_REELIN	4			interneuron	CL:0002306	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
lamp5 GABAergic cortical interneuron	lamp5 GABAergic cortical interneuron	CL:4023011	GABAergicInterneuron_LAMP5	4			interneuron	CL:0002306	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
vip GABAergic cortical interneuron	vip GABAergic cortical interneuron	CL:4023016	GABAergicInterneuron_VIP	4			interneuron	CL:0002306	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
GABAergic amacrine cell	GABAergic amacrine cell	CL:4030027	GABAergicAmacrine	3					amacrine cell	CL:0000561	neural cell	CL:0002319	cell	CL:0000548
glycinergic amacrine cell	glycinergic amacrine cell	CL:4030028	GlycinergicAmacrine	3					amacrine cell	CL:0000561	neural cell	CL:0002319	cell	CL:0000548
adipocyte progenitor cell		DB:0000093	AdipocytePC	3					fat cell	CL:0000136	connective tissue cell	CL:0002320	cell	CL:0000548
type I cell of adrenal cortex	type I cell of adrenal cortex	CL:0002099	TypeICorticalAdrenal	4			cortical cell of adrenal gland	CL:0002097	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
type II cell of adrenal cortex	type II cell of adrenal cortex	CL:0002136	TypeIICorticalAdrenal	4			cortical cell of adrenal gland	CL:0002097	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
adrenal medulla chromaffin cell	adrenal medulla chromaffin cell	CL:0000336	AdrenalMedullaChromaffin	5	chromaffin cell	CL:0000166	neuroendocrine cell	CL:0000165	endocrine cell	CL:0000163	secretory cell	CL:0000151	cell	CL:0000548
stromal cell of endometrium	stromal cell of endometrium	CL:0002255	StromalEndometrium	3					stromal cell	CL:0000499	connective tissue cell	CL:0002320	cell	CL:0000548
epithelial cell of thyroid gland	epithelial cell of thyroid gland	CL:0002257	ThyroidGlandEpithelial	3					glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
thyroid follicular cell	thyroid follicular cell	CL:0002258	ThyroidFollicular	4			epithelial cell of thyroid gland	CL:0002257	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
meso-epithelial cell	meso-epithelial cell	CL:0002078	MesoEpithelial	2							epithelial cell	CL:0000066	cell	CL:0000548
follicular cell of ovary	follicular cell of ovary	CL:0002174	OvaryFollicular	3					meso-epithelial cell	CL:0002078	epithelial cell	CL:0000066	cell	CL:0000548
granulosa cell	granulosa cell	CL:0000501	Granulosa	4			follicular cell of ovary	CL:0002174	meso-epithelial cell	CL:0002078	epithelial cell	CL:0000066	cell	CL:0000548
stromal cell of ovary	stromal cell of ovary	CL:0002132	StromalOvary	3					stromal cell	CL:0000499	connective tissue cell	CL:0002320	cell	CL:0000548
theca cell	theca cell	CL:0000503	Theca	4			stromal cell of ovary	CL:0002132	stromal cell	CL:0000499	connective tissue cell	CL:0002320	cell	CL:0000548
luteal cell	luteal cell	CL:0000175	Luteal	4			stromal cell of ovary	CL:0002132	stromal cell	CL:0000499	connective tissue cell	CL:0002320	cell	CL:0000548
ovarian surface epithelial cell	ovarian surface epithelial cell	CL:2000064	OvarianSurfaceEpithelial	2							epithelial cell	CL:0000066	cell	CL:0000548
peg cell	peg cell	CL:4033014	PegCell	2							epithelial cell	CL:0000066	cell	CL:0000548
neurecto-epithelial cell	neurecto-epithelial cell	CL:0000710	NeurectoEpithelial	3					ecto-epithelial cell	CL:0002077	epithelial cell	CL:0000066	cell	CL:0000548
type I cell of carotid body	type I cell of carotid body	CL:0002292	TypeICarotidBody	4			neurecto-epithelial cell	CL:0000710	ecto-epithelial cell	CL:0002077	epithelial cell	CL:0000066	cell	CL:0000548
urothelial cell	urothelial cell	CL:0000731	Urothelial	2							epithelial cell	CL:0000066	cell	CL:0000548
basal cell of urothelium	basal cell of urothelium	CL:1000486	UrothelialBasal	3					urothelial cell	CL:0000731	epithelial cell	CL:0000066	cell	CL:0000548
intermediate cell of urothelium	intermediate cell of urothelium	CL:4030055	UrothelialIntermediate	3					urothelial cell	CL:0000731	epithelial cell	CL:0000066	cell	CL:0000548
umbrella cell of urothelium	umbrella cell of urothelium	CL:4030056	UrothelialUmbrella	3					urothelial cell	CL:0000731	epithelial cell	CL:0000066	cell	CL:0000548
oral mucosa squamous cell	oral mucosa squamous cell	CL:1001576	OralMucosaSquamous	3					squamous epithelial cell	CL:0000076	epithelial cell	CL:0000066	cell	CL:0000548
keratinized cell of the oral mucosa	keratinized cell of the oral mucosa	CL:0000237	OralMucosaKeratinized	3					ecto-epithelial cell	CL:0002077	epithelial cell	CL:0000066	cell	CL:0000548
sensory neuron	sensory neuron	CL:0000101	SensoryNeuron	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
meningothelial cell	meningothelial cell	CL:0002379	Meningothelial	4			neurecto-epithelial cell	CL:0000710	ecto-epithelial cell	CL:0002077	epithelial cell	CL:0000066	cell	CL:0000548
tendon cell	tendon cell	CL:0000388	Tendon	2							stromal cell	CL:0000499	cell	CL:0000548
fibro/adipogenic progenitor cell	fibro/adipogenic progenitor cell	CL:0009099	FibroAdipogenicProgenitor	2							mesenchymal cell	CL:0008019	cell	CL:0000548
epithelial cell of prostate	epithelial cell of prostate	CL:0002231	ProstateEpithelial	3					endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
luminal cell of prostate epithelium	luminal cell of prostate epithelium	CL:0002340	LuminalProstateEpithelium	4			epithelial cell of prostate	CL:0002231	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
clear cell		DB:0000094	Clear	3					ionocyte	CL:0005006	epithelial cell	CL:0000066	cell	CL:0000548
renal intercalated cell	renal intercalated cell	CL:0005010	RenalIntercalated	3					epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
renal alpha-intercalated cell	renal alpha-intercalated cell	CL:0005011	RenalAlphaIntercalated	4			renal intercalated cell	CL:0005011	epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
renal beta-intercalated cell	renal beta-intercalated cell	CL:0002201	RenalBetaIntercalated	4			renal intercalated cell	CL:0005011	epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
renal principal cell	renal principal cell	CL:0005009	RenalPrincipal	3					epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
glomerular endothelial cell	glomerular endothelial cell	CL:0002188	GlomerularEndo	2							endothelial cell	CL:0000115	cell	CL:0000548
vasa recta ascending limb cell	vasa recta ascending limb cell	CL:1001131	VasaRectaAscending	4			kidney capillary endothelial cell	CL:1000892	blood vessel endothelial cell	CL:0000071	endothelial cell	CL:0000115	cell	CL:0000548
vasa recta descending limb cell	vasa recta descending limb cell	CL:1001285	VasaRectaDescending	4			kidney capillary endothelial cell	CL:1000892	blood vessel endothelial cell	CL:0000071	endothelial cell	CL:0000115	cell	CL:0000548
peritubular capillary endothelial cell	peritubular capillary endothelial cell	CL:1001033	PeritubularCapillaryEndo	4			kidney capillary endothelial cell	CL:1000892	blood vessel endothelial cell	CL:0000071	endothelial cell	CL:0000115	cell	CL:0000548
renal filtration cell	renal filtration cell	CL:0002522	RenalFiltration	2							secretory cell	CL:0000151	cell	CL:0000548
kidney interstitial myofibroblast	kidney interstitial myofibroblast	CL:1000691	KidneyInterstitialMyofibroblast	3					myofibroblast cell	CL:0000186	contractile cell	CL:0000183	cell	CL:0000548
kidney pelvis urothelial cell	kidney pelvis urothelial cell	CL:1000703	KidneyPelvisUrothelial	3					kidney pelvis urothelial cell	CL:1000703	epithelial cell	CL:0000066	cell	CL:0000548
kidney connecting tubule principal cell	kidney connecting tubule principal cell	CL:4030018	KidneyConnectingTubulePrincipal	4			renal principal cell	CL:0005009	epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
kidney precursor cell		DB:0000095	KidneyPrecursor	2							precursor cell	CL:0011115	cell	CL:0000548
pronephric nephron cell		DB:0000096	PronephricNephron	3					kidney precursor cell	DB:0000095	precursor cell	CL:0011115	cell	CL:0000548
ureteric bud cell		DB:0000097	UretericBud	3					kidney precursor cell	DB:0000095	precursor cell	CL:0011115	cell	CL:0000548
ureteric bud epithelial cell		DB:0000098	UretericBudEpithelial	4			ureteric bud cell	DB:0000097	kidney precursor cell	DB:0000095	precursor cell	CL:0011115	cell	CL:0000548
renal vesicle cell		DB:0000099	RenalVesicle	3					kidney precursor cell	DB:0000095	precursor cell	CL:0011115	cell	CL:0000548
metanephric mesenchyme cell		DB:0000100	MetanephricMesenchyme	3					kidney precursor cell	DB:0000095	precursor cell	CL:0011115	cell	CL:0000548
S shaped body cell		DB:0000101	SshapedBody	3					kidney precursor cell	DB:0000095	precursor cell	CL:0011115	cell	CL:0000548
kidney collecting duct principal cell	kidney collecting duct principal cell	CL:1001431	KidneyDuctPrincipal	4			kidney collecting duct cell	CL:1001225	duct epithelial cell	CL:0000068	epithelial cell	CL:0000066	cell	CL:0000548
kidney outer medulla collecting duct principal cell	kidney outer medulla collecting duct principal cell	CL:1000716	KidneyOuterMedullaDuctPrincipal	5	kidney collecting duct principal cell	CL:1001431	kidney collecting duct cell	CL:1001225	duct epithelial cell	CL:0000068	epithelial cell	CL:0000066	cell	CL:0000548
kidney inner medulla collecting duct principal cell	kidney inner medulla collecting duct principal cell	CL:1000718	KidneyInnerMedullaDuctPrincipal	5	kidney collecting duct principal cell	CL:1001431	kidney collecting duct cell	CL:1001225	duct epithelial cell	CL:0000068	epithelial cell	CL:0000066	cell	CL:0000548
